day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
14,9,2013,32.0,49.8,12.8,0.0,88.7,23.2,90.2,4.8,24.8,7.1,not fire,1
14,9,2013,29.7,69.2,13.5,0.0,85.6,19.0,74.9,7.4,20.4,8.3,not fire,0
2,7,2012,32.5,58.8,14.0,0.0,86.0,20.8,75.0,4.6,21.5,6.4,not fire,1
20,9,2013,35.2,47.8,15.0,0.5,87.8,26.3,87.2,4.9,26.2,7.4,not fire,1
14,8,2012,30.0,40.1,14.1,0.0,92.6,15.0,64.6,5.8,16.7,6.6,fire,0
20,9,2012,39.2,40.3,15.4,0.0,96.0,42.4,133.5,7.2,41.4,11.3,fire,0
6,7,2012,29.7,76.9,14.0,0.0,83.7,12.5,66.7,6.9,15.5,7.2,not fire,1
27,7,2013,36.3,50.2,15.9,0.0,94.3,26.0,118.2,8.6,29.8,10.5,fire,0
13,9,2012,30.7,66.8,12.1,0.0,79.7,19.0,88.6,3.8,22.0,6.0,not fire,0
5,6,2013,30.5,57.5,17.7,0.0,88.7,14.2,48.4,8.8,14.3,8.3,not fire,1
18,8,2012,36.6,61.6,16.6,0.0,95.7,33.6,138.6,9.7,36.8,12.3,fire,1
28,7,2012,34.1,65.5,15.0,0.0,82.7,14.7,84.5,4.3,18.9,5.9,not fire,1
22,9,2013,31.2,61.4,16.3,0.0,87.4,19.2,80.3,7.6,21.2,8.5,not fire,1
21,7,2013,29.2,76.2,17.3,0.0,78.7,6.9,44.6,4.1,9.5,4.3,not fire,1
27,7,2012,36.3,56.7,16.3,0.0,95.8,20.3,81.7,10.7,22.0,10.8,fire,0
7,9,2012,34.2,53.5,16.7,0.0,89.4,21.1,77.5,8.0,22.0,8.9,not fire,0
10,6,2013,27.8,73.7,18.5,0.0,76.1,4.2,21.6,3.8,5.1,3.5,not fire,1
24,8,2012,29.1,59.1,10.3,0.0,84.7,18.3,60.7,3.5,18.3,5.2,not fire,1
8,8,2012,26.7,83.6,14.1,0.0,81.2,6.9,34.0,6.8,8.2,6.0,not fire,1
30,9,2013,38.6,46.8,17.6,0.2,93.1,33.4,118.6,8.0,34.3,10.7,fire,1
30,7,2013,32.3,77.3,12.6,0.0,79.7,14.2,61.2,4.8,15.9,5.7,not fire,0
27,8,2012,27.2,72.1,16.9,0.0,81.7,11.5,52.3,4.5,13.2,5.1,not fire,0
14,9,2012,38.6,68.5,14.3,0.0,85.0,28.1,112.0,4.0,30.3,7.3,not fire,0
21,8,2013,32.6,72.4,15.0,0.5,82.7,16.7,58.3,2.6,17.0,4.3,not fire,0
6,7,2013,31.9,80.9,19.7,0.2,76.9,17.7,62.2,5.1,18.1,6.3,not fire,1
24,6,2013,30.0,56.2,13.3,0.0,85.1,18.0,83.2,5.0,20.8,6.6,not fire,0
10,6,2012,31.9,55.6,9.4,0.0,90.2,21.1,84.2,7.2,22.8,8.4,not fire,1
10,7,2013,32.3,71.3,13.2,10.0,64.7,13.5,63.4,0.0,15.7,2.4,not fire,1
19,8,2012,26.3,83.1,13.7,0.5,70.0,10.0,76.7,1.8,15.2,3.5,not fire,0
22,6,2012,32.5,61.4,13.4,0.0,87.3,24.0,68.3,5.3,22.6,7.1,not fire,1
29,8,2013,32.1,55.6,15.0,0.0,91.8,17.9,79.7,7.0,20.3,7.9,not fire,1
31,9,2013,30.2,51.2,15.7,0.5,85.8,11.4,63.2,6.2,14.5,6.5,not fire,1
1,7,2013,33.0,53.9,14.4,0.2,92.1,15.1,67.2,8.0,17.1,8.2,not fire,0
21,9,2012,36.8,63.5,15.0,0.0,90.1,24.3,86.5,8.3,25.0,9.6,not fire,0
3,6,2012,30.8,60.7,13.1,0.0,86.1,14.4,65.4,6.2,16.5,6.8,not fire,0
14,8,2013,32.8,64.4,15.4,0.0,82.0,22.2,84.7,6.3,23.5,7.9,not fire,0
23,9,2012,36.2,82.7,16.9,0.0,82.4,20.5,87.3,5.9,22.8,7.6,not fire,0
18,7,2012,33.1,58.4,10.6,0.2,80.7,19.3,91.0,4.2,22.5,6.3,not fire,1
28,7,2013,34.9,64.1,14.9,0.0,85.9,21.6,64.6,7.0,20.7,8.0,not fire,1
16,9,2013,36.4,55.4,18.6,5.0,78.5,29.5,96.7,6.1,29.3,8.7,not fire,0
8,9,2013,33.0,58.9,17.0,0.0,85.8,27.0,111.3,4.6,29.6,7.6,not fire,0
31,6,2012,32.4,72.6,12.2,2.0,79.0,20.5,87.7,5.2,22.8,7.1,not fire,0
18,8,2012,34.4,78.5,15.2,0.0,78.5,21.6,95.9,4.7,24.5,6.9,not fire,1
14,8,2013,31.8,61.1,16.6,0.5,86.0,18.0,81.4,7.1,20.6,8.1,not fire,0
20,6,2012,28.7,78.8,14.2,0.5,78.3,12.2,50.3,3.3,13.4,4.3,not fire,1
30,6,2013,32.3,43.7,14.8,0.0,88.9,18.4,84.6,8.6,21.2,9.2,fire,0
9,9,2012,31.6,61.9,15.7,0.0,88.6,20.1,91.8,7.3,23.0,8.5,not fire,0
17,7,2013,34.2,66.2,22.2,0.0,83.7,15.4,71.3,8.1,17.8,8.4,not fire,1
26,9,2012,37.6,67.7,19.6,0.0,90.1,24.7,94.5,7.7,26.2,9.3,not fire,1
22,9,2013,23.6,90.0,17.0,0.0,67.0,0.7,14.8,0.5,2.2,0.7,not fire,1
12,7,2013,30.5,58.3,12.0,0.0,85.2,13.6,54.0,5.4,14.6,6.0,not fire,0
14,6,2013,32.0,73.8,14.1,0.0,75.6,18.0,72.5,4.2,19.5,5.9,not fire,1
5,6,2012,30.9,56.7,18.2,0.0,86.4,16.5,62.9,5.4,17.4,6.4,not fire,0
12,9,2013,25.5,80.5,19.3,0.0,72.2,5.4,52.4,4.4,9.5,4.5,not fire,0
2,9,2013,24.5,67.1,15.0,0.2,74.2,7.0,39.4,4.5,8.9,4.5,not fire,0
2,8,2012,36.0,59.0,17.4,0.5,86.8,28.5,94.0,6.9,28.4,9.1,not fire,0
17,6,2013,31.6,44.9,14.1,0.0,91.3,13.2,67.0,8.3,16.0,8.2,fire,1
28,6,2013,36.5,74.6,13.6,0.0,87.5,22.8,102.4,6.2,26.0,8.2,not fire,0
3,8,2013,31.5,71.8,17.5,0.0,76.3,23.3,97.8,3.2,25.7,6.1,not fire,1
24,9,2012,37.2,45.6,14.4,0.0,96.0,36.7,124.4,8.5,36.9,11.5,fire,0
30,8,2012,35.4,74.1,12.4,10.0,62.0,31.1,108.8,0.0,31.7,4.8,not fire,0
24,9,2012,28.0,68.0,16.5,0.0,79.8,9.7,46.5,6.5,11.4,6.3,not fire,0
30,7,2012,34.4,56.0,18.4,10.0,70.5,18.4,60.4,3.4,18.3,5.1,not fire,1
5,6,2012,24.9,89.4,16.1,0.5,63.6,0.7,14.2,0.2,2.1,0.5,not fire,0
17,6,2013,25.1,80.9,12.8,0.0,73.9,3.2,52.9,3.2,8.3,3.5,not fire,0
25,9,2013,35.1,53.8,12.3,0.0,96.0,20.2,83.1,8.8,22.1,9.5,fire,0
13,8,2013,33.1,57.5,16.2,0.0,86.8,21.4,72.5,6.6,21.6,7.9,not fire,1
6,8,2012,33.4,90.0,12.4,0.0,82.9,12.9,56.6,5.8,14.5,6.2,not fire,1
17,8,2012,24.3,57.4,19.3,0.2,85.5,6.8,40.3,5.4,8.9,5.1,not fire,1
8,8,2012,35.4,66.8,17.5,1.0,91.1,26.5,110.3,8.4,29.1,10.2,not fire,1
9,9,2012,37.1,56.8,18.5,0.0,86.9,31.1,118.0,7.4,32.8,10.1,not fire,1
31,9,2012,34.3,49.9,17.9,0.0,96.0,28.5,122.7,9.9,31.8,11.7,fire,0
13,6,2012,33.4,68.9,15.2,0.0,79.2,24.7,106.3,5.0,27.6,7.6,not fire,0
3,9,2012,30.8,60.1,13.8,0.0,88.5,18.6,60.9,7.0,18.5,7.6,not fire,1
13,6,2012,37.2,50.4,17.0,0.5,90.0,35.6,124.8,9.6,36.3,12.2,fire,0
18,7,2013,34.9,51.0,12.9,0.0,88.5,26.8,102.6,7.0,28.4,9.1,not fire,1
12,8,2012,28.6,77.4,13.3,0.0,76.6,13.7,70.5,4.5,16.7,5.7,not fire,1
24,7,2013,32.7,66.7,15.1,0.0,84.8,15.7,69.2,7.0,17.7,7.6,not fire,0
18,8,2012,25.4,61.0,16.0,0.0,81.8,7.9,38.2,4.5,9.3,4.6,not fire,0
21,6,2012,33.4,55.0,13.4,0.0,90.1,23.6,88.8,5.3,24.8,7.4,not fire,0
19,9,2012,32.0,53.3,18.0,0.0,87.5,21.7,76.9,6.8,22.3,8.1,not fire,1
5,6,2013,33.1,53.0,19.0,0.5,90.9,27.9,110.3,8.8,30.0,10.7,not fire,0
13,7,2012,32.5,58.9,21.7,0.0,83.9,21.1,80.2,7.2,22.3,8.4,not fire,1
21,9,2012,34.1,49.1,17.5,1.0,91.0,28.2,96.0,9.1,28.4,10.6,not fire,0
12,7,2013,34.2,63.4,15.2,0.2,84.7,16.2,65.3,5.5,17.5,6.5,not fire,1
12,8,2013,30.8,62.8,13.8,0.0,83.3,11.9,43.7,4.1,12.4,4.7,not fire,0
23,7,2012,35.3,77.2,20.2,0.0,85.1,24.5,101.1,8.1,26.8,9.7,not fire,1
23,6,2013,32.6,57.3,14.5,1.0,86.4,21.7,79.0,8.7,22.5,9.5,not fire,1
28,8,2013,32.5,62.5,16.0,0.0,80.8,23.5,110.5,4.4,27.4,7.2,not fire,1
26,9,2012,34.2,48.3,13.2,10.0,74.6,25.6,101.1,2.1,27.5,5.6,not fire,1
1,6,2012,36.4,47.5,13.7,0.0,94.1,31.1,115.3,6.5,32.5,9.4,fire,1
24,7,2012,31.9,73.4,13.5,0.0,83.3,18.2,77.5,6.9,20.2,7.9,not fire,1
14,6,2012,35.8,59.1,17.9,0.0,89.3,17.1,77.2,6.7,19.5,7.6,not fire,1
4,8,2013,33.1,66.8,15.2,0.0,83.9,14.6,55.5,7.1,15.4,7.3,not fire,1
17,8,2012,35.7,54.3,13.7,0.0,94.1,33.0,116.8,8.4,33.8,10.9,fire,0
5,7,2013,35.7,66.4,10.2,0.2,86.5,20.0,73.9,6.4,20.9,7.6,not fire,0
27,6,2012,42.0,33.4,21.1,0.0,96.0,34.8,120.1,10.9,35.3,12.9,fire,0
18,9,2012,25.3,77.9,17.1,0.0,71.2,7.7,59.9,2.3,11.8,3.4,not fire,1
24,8,2012,35.2,53.4,15.0,1.0,85.6,25.2,106.5,6.8,27.9,8.9,not fire,0
20,8,2013,33.9,53.6,13.5,0.0,88.5,24.3,79.1,8.0,24.1,9.2,not fire,1
26,8,2012,28.8,66.9,17.7,0.0,83.4,13.1,72.5,5.4,16.6,6.3,not fire,0
20,8,2012,31.8,72.8,10.0,0.0,79.5,17.9,87.4,3.0,21.2,5.3,not fire,0
8,8,2012,31.9,60.9,14.0,0.0,82.7,14.9,83.0,5.9,18.9,7.0,not fire,1
30,7,2012,36.9,47.1,13.2,0.0,90.3,28.5,108.0,8.6,30.0,10.5,fire,0
8,6,2013,37.2,50.1,11.1,0.0,94.1,21.6,81.7,7.8,22.7,8.9,fire,0
27,6,2012,33.7,67.6,17.9,0.0,84.6,23.4,86.5,6.0,24.4,7.8,not fire,1
7,8,2013,30.5,74.6,14.6,0.0,78.4,17.7,84.6,5.9,20.8,7.3,not fire,0
17,8,2013,24.5,49.9,15.9,1.0,82.4,6.3,49.7,5.8,9.8,5.5,not fire,0
23,9,2013,38.6,53.2,21.2,0.0,96.0,31.8,95.8,10.1,30.5,11.7,fire,0
25,9,2012,30.9,49.7,18.0,0.2,86.1,19.2,82.0,6.5,21.4,7.8,not fire,1
18,9,2012,27.3,76.9,14.5,0.0,75.1,3.7,26.7,4.1,5.4,3.7,not fire,0
5,6,2013,31.5,49.4,17.0,0.0,88.6,17.9,68.5,7.4,18.9,8.0,not fire,1
30,8,2012,30.0,69.3,17.2,0.0,83.2,14.6,61.0,6.3,16.1,6.8,not fire,1
9,6,2013,32.1,49.3,16.4,0.0,90.4,18.6,93.0,7.7,22.3,8.7,not fire,1
2,9,2013,29.1,71.6,12.5,1.0,78.7,12.2,49.5,3.7,13.3,4.6,not fire,1
3,8,2013,38.5,66.9,17.9,0.0,83.9,38.9,145.2,7.9,40.8,11.7,not fire,1
27,9,2012,31.5,53.6,12.3,2.0,85.4,13.9,76.1,5.8,17.5,6.7,not fire,1
13,9,2012,30.2,72.6,15.7,0.0,82.5,20.4,72.8,6.2,21.0,7.5,not fire,0
6,6,2013,29.1,79.1,16.4,0.2,77.5,0.7,27.9,6.3,3.8,5.0,not fire,1
18,9,2012,33.9,70.8,16.8,0.0,80.9,13.9,66.2,3.9,16.3,5.2,not fire,1
16,7,2013,34.7,55.6,15.2,0.0,82.5,23.2,102.9,3.7,26.3,6.5,not fire,1
27,7,2013,32.3,58.6,19.2,0.0,85.0,24.7,89.9,8.0,25.6,9.4,not fire,0
26,8,2012,32.0,75.7,12.6,0.2,80.5,17.2,44.7,5.0,15.7,5.8,not fire,1
13,9,2013,36.7,47.9,9.4,0.0,92.0,26.3,106.2,6.8,28.5,9.0,fire,1
21,9,2012,35.0,68.1,15.0,0.2,89.0,31.3,93.9,7.9,30.0,10.0,not fire,0
26,9,2013,29.0,62.6,16.9,0.2,84.0,18.7,61.9,5.3,18.6,6.5,not fire,0
16,6,2012,30.3,75.8,19.1,0.5,78.5,12.2,35.8,4.8,11.6,5.1,not fire,0
9,6,2012,31.9,79.1,13.9,0.0,71.0,14.8,70.7,2.7,17.4,4.5,not fire,0
5,7,2013,33.3,42.6,13.0,0.0,87.8,29.0,125.4,6.2,32.5,9.2,fire,1
11,7,2012,30.8,56.6,13.3,0.0,87.6,24.2,92.2,6.6,25.6,8.5,not fire,0
1,7,2012,29.0,84.6,13.6,0.0,77.0,19.5,92.4,3.7,22.8,6.0,not fire,0
29,6,2012,38.8,53.0,16.5,0.0,96.0,37.3,137.2,10.3,38.8,13.0,fire,1
11,6,2012,35.3,55.8,17.3,0.5,86.3,29.8,120.1,6.4,32.3,9.4,not fire,0
22,9,2012,37.7,50.6,13.8,0.0,96.0,31.4,110.1,6.0,32.1,9.0,fire,0
11,6,2013,28.9,61.0,15.4,0.0,81.4,16.5,74.0,5.5,18.8,6.7,not fire,1
18,7,2012,32.1,55.3,15.3,0.0,92.4,23.8,76.8,6.5,23.5,8.1,not fire,0
11,7,2012,31.4,70.5,16.3,0.0,82.8,13.8,64.0,4.0,16.0,5.2,not fire,0
26,6,2013,38.4,66.8,12.7,0.2,86.0,36.1,115.9,7.2,35.5,10.4,not fire,0
6,6,2013,34.2,45.0,19.2,0.5,91.0,32.2,119.3,7.4,33.7,10.2,fire,0
11,7,2013,26.0,59.4,16.4,0.0,84.3,12.4,78.0,7.5,16.8,7.7,not fire,1
18,9,2012,34.0,59.4,19.4,0.0,81.3,28.5,112.9,5.9,30.7,8.7,not fire,1
28,6,2013,26.6,75.7,12.1,0.0,79.4,9.8,56.4,4.9,12.6,5.3,not fire,1
6,9,2013,28.7,82.3,14.3,0.0,75.4,11.7,39.4,3.6,11.7,4.3,not fire,1
6,6,2013,31.1,61.1,17.3,1.0,81.5,20.4,74.0,5.6,21.1,7.1,not fire,1
16,8,2013,36.1,48.8,16.4,10.0,74.2,24.5,91.2,3.5,25.7,6.3,not fire,1
19,7,2012,31.5,74.5,12.2,0.0,84.6,19.1,88.0,7.5,22.0,8.6,not fire,1
16,6,2012,37.7,72.0,19.9,0.0,85.0,30.1,96.3,7.1,29.6,9.4,not fire,0
27,6,2012,24.6,80.3,17.7,0.0,72.9,0.7,34.0,4.5,4.5,3.9,not fire,0
18,9,2012,32.0,50.2,18.3,0.0,92.7,18.1,69.5,9.7,19.2,9.6,fire,0
15,9,2013,37.9,74.0,14.2,0.5,86.4,33.4,128.8,6.7,35.5,10.0,not fire,1
22,9,2013,28.6,90.0,12.7,0.0,71.9,10.5,49.4,4.1,12.2,4.7,not fire,1
8,8,2013,37.5,54.0,14.4,0.0,95.3,31.5,117.7,9.3,33.0,11.5,fire,1
7,9,2012,31.4,66.0,13.3,0.2,86.1,18.7,84.2,6.0,21.3,7.4,not fire,0
31,6,2013,33.6,55.4,15.0,5.0,79.9,24.4,86.5,4.6,25.0,6.9,not fire,1
12,7,2013,25.9,69.8,11.2,0.2,76.0,2.4,16.8,2.7,3.5,2.4,not fire,0
7,9,2012,30.8,60.3,16.0,0.0,83.8,18.7,84.8,5.5,21.4,7.0,not fire,1
31,9,2012,25.3,71.6,18.9,0.0,77.5,6.5,66.5,5.1,11.9,5.3,not fire,1
16,9,2013,28.5,67.5,13.4,0.0,77.1,2.9,34.0,5.4,5.8,4.7,not fire,0
19,9,2013,30.6,73.2,18.6,10.0,60.7,13.9,70.1,0.4,16.7,2.8,not fire,0
16,6,2012,27.1,82.8,15.3,0.0,73.3,11.5,49.4,1.2,12.8,2.7,not fire,1
25,9,2013,32.9,49.1,14.6,0.0,96.0,24.1,77.0,10.2,23.7,10.7,fire,1
6,8,2013,27.9,63.2,13.4,0.0,83.0,10.0,53.9,5.1,12.5,5.4,not fire,1
8,8,2013,30.8,54.9,14.2,0.0,90.4,22.9,90.6,6.7,24.6,8.4,not fire,1
25,8,2012,33.7,64.5,14.7,0.0,86.7,23.5,103.9,7.1,26.6,8.9,not fire,0
22,9,2012,29.5,64.1,17.6,0.0,82.5,10.7,45.5,6.1,11.9,6.0,not fire,0
7,6,2012,31.3,57.9,16.6,0.0,92.1,13.1,71.1,7.6,16.4,7.8,not fire,1
13,8,2012,29.9,55.0,21.5,1.0,84.8,18.6,115.1,4.8,25.0,7.1,not fire,1
22,8,2012,38.0,53.5,14.4,0.0,93.9,27.9,95.5,7.6,28.2,9.5,fire,1
1,8,2013,37.0,49.3,16.3,0.0,92.4,32.9,137.3,7.9,36.2,11.0,fire,1
18,7,2012,34.3,60.5,18.7,0.2,85.2,18.9,81.8,6.8,21.2,7.9,not fire,0
28,8,2012,27.9,80.6,16.3,0.0,77.1,12.6,72.6,3.6,16.3,5.0,not fire,1
27,9,2012,31.2,74.2,14.3,2.0,75.0,11.4,43.3,3.7,12.0,4.4,not fire,1
14,6,2012,26.2,71.8,20.7,0.2,75.8,9.3,63.2,3.6,13.2,4.5,not fire,0
2,8,2012,38.1,65.2,12.7,0.0,87.6,27.9,95.2,4.4,28.1,7.3,not fire,1
17,9,2013,32.8,78.9,15.3,0.0,74.5,12.7,78.1,4.3,17.0,5.6,not fire,0
16,9,2012,32.4,67.9,16.0,0.2,88.9,22.3,84.8,8.0,23.6,9.1,not fire,0
25,9,2012,33.6,65.6,15.9,0.0,82.7,27.8,109.3,5.6,29.8,8.4,not fire,1
28,9,2013,31.3,66.7,12.4,0.0,82.9,19.1,72.9,4.9,20.2,6.5,not fire,0
20,6,2013,26.7,68.6,12.0,0.0,80.7,13.1,54.5,4.4,14.4,5.2,not fire,0
13,9,2013,36.6,50.2,18.1,0.0,93.0,26.0,110.4,8.4,28.9,10.2,fire,1
14,7,2012,33.7,65.1,13.5,0.0,78.9,22.7,92.5,3.7,24.7,6.3,not fire,1
5,7,2013,32.1,67.4,13.0,5.0,78.7,20.7,80.8,3.4,22.1,5.7,not fire,1
23,8,2012,32.6,66.9,15.0,0.0,82.2,24.3,89.6,5.7,25.4,7.8,not fire,0
17,8,2012,36.2,53.8,13.5,0.0,95.0,33.2,118.0,7.6,34.1,10.4,fire,1
4,9,2012,27.8,66.4,15.9,0.0,83.5,18.1,74.5,6.0,19.8,7.2,not fire,1
25,9,2012,34.4,61.4,19.6,0.0,92.4,21.7,82.3,8.8,22.9,9.6,not fire,1
5,7,2013,31.2,75.9,17.3,0.0,79.2,15.5,78.8,3.0,18.8,4.9,not fire,1
20,7,2013,32.5,61.3,16.5,0.0,89.9,15.6,80.2,7.0,19.0,7.7,not fire,1
11,6,2012,32.3,59.3,18.7,0.0,89.8,15.0,70.7,8.2,17.5,8.4,not fire,1
30,6,2013,25.5,69.8,12.5,0.2,74.5,5.4,25.0,3.3,6.3,3.3,not fire,1
3,8,2012,30.7,59.9,14.0,0.0,84.7,9.6,62.1,5.9,13.2,6.1,not fire,0
6,6,2013,30.6,64.3,15.4,0.0,84.4,16.1,50.9,6.3,15.7,6.7,not fire,0
27,8,2012,31.2,72.1,13.9,0.0,81.4,18.0,78.7,4.2,20.2,6.0,not fire,1
21,9,2012,29.5,65.6,13.3,0.0,84.1,11.2,53.4,4.9,13.1,5.4,not fire,1
5,6,2012,34.4,35.8,16.1,0.2,92.5,25.1,99.7,7.6,27.0,9.4,fire,0
4,7,2013,29.6,62.7,15.9,0.0,87.8,11.4,59.4,5.7,13.9,6.1,not fire,1
29,9,2013,30.9,70.7,14.3,0.0,77.1,19.9,84.9,4.9,22.1,6.8,not fire,1
18,6,2013,33.8,52.5,18.8,0.0,89.0,23.2,95.6,8.7,25.4,9.9,not fire,0
25,6,2012,31.0,46.2,12.2,0.0,95.4,22.8,69.4,7.8,22.0,8.8,fire,0
21,8,2012,33.5,62.9,18.7,0.2,87.8,19.0,82.9,6.9,21.4,8.0,not fire,1
12,8,2013,30.4,74.3,17.8,0.0,84.8,17.5,90.4,4.7,21.4,6.5,not fire,0
25,9,2012,30.2,55.3,17.4,0.0,83.8,19.8,90.3,6.4,22.7,7.9,not fire,1
11,8,2012,31.0,43.4,15.0,0.0,92.7,16.0,87.1,6.6,20.1,7.7,fire,1
27,7,2012,32.7,63.9,17.8,0.0,82.9,20.2,82.6,5.1,22.0,6.9,not fire,0
14,7,2013,28.3,65.8,13.0,0.0,84.1,14.4,66.2,6.1,16.6,6.8,not fire,1
4,9,2013,35.7,48.6,13.7,0.0,96.0,34.9,136.4,7.3,37.3,10.7,fire,1
14,6,2012,29.3,69.9,19.3,0.2,78.1,9.7,62.6,6.1,13.3,6.3,not fire,1
27,9,2012,32.5,53.7,15.6,0.0,92.9,15.0,51.2,7.5,15.2,7.5,not fire,0
23,6,2013,31.9,65.9,18.2,10.0,64.2,23.6,94.2,0.1,25.5,3.9,not fire,1
17,7,2012,28.2,57.1,18.3,0.0,81.3,14.6,81.0,6.3,18.5,7.2,not fire,1
13,9,2012,32.0,73.8,17.4,0.0,85.5,25.9,87.5,6.1,26.0,8.2,not fire,0
20,9,2013,33.5,60.3,13.0,0.0,84.6,22.5,99.4,7.9,25.4,9.3,not fire,1
14,8,2013,38.9,52.5,13.4,0.0,91.0,39.5,144.3,8.7,41.0,12.2,fire,1
29,9,2012,27.3,75.1,20.0,0.0,75.9,8.3,52.4,5.5,11.3,5.5,not fire,1
25,9,2013,37.0,49.7,9.9,2.0,86.1,28.0,100.7,5.9,28.9,8.5,not fire,1
26,6,2013,32.3,63.4,10.2,0.0,78.9,16.8,61.2,3.5,17.4,5.1,not fire,0
24,6,2012,37.5,43.5,20.5,0.0,93.9,33.7,122.3,9.0,34.9,11.5,fire,1
7,9,2012,27.8,52.4,12.9,0.0,82.0,11.8,46.9,5.6,12.7,5.8,not fire,1
26,9,2012,35.5,60.3,10.9,0.2,91.1,22.6,88.5,7.8,24.2,9.1,not fire,0
18,9,2013,32.5,61.5,15.3,0.0,83.6,20.9,94.8,6.0,23.9,7.8,not fire,0
30,7,2012,35.8,61.6,13.7,2.0,87.3,28.0,78.7,7.1,26.2,8.9,not fire,1
25,7,2012,32.4,55.6,14.5,0.0,84.2,27.2,102.8,5.1,28.6,7.9,not fire,1
11,7,2013,31.0,50.0,16.3,0.0,92.3,20.3,94.6,8.5,23.5,9.5,not fire,1
25,8,2012,35.9,62.4,15.3,0.0,84.2,28.2,115.6,7.8,30.8,10.1,not fire,0
13,7,2013,36.9,61.2,11.6,0.0,90.0,27.8,95.3,6.3,28.1,8.7,not fire,0
28,6,2012,30.6,63.9,14.1,0.0,76.4,15.1,63.2,3.9,16.6,5.2,not fire,0
4,8,2012,32.4,55.0,18.0,0.0,88.7,21.8,72.2,7.0,21.8,8.1,not fire,0
11,9,2013,32.5,57.8,15.0,0.0,82.3,21.2,86.9,5.4,23.2,7.3,not fire,1
18,7,2012,29.2,68.2,12.7,0.0,86.3,12.0,55.2,5.0,13.8,5.5,not fire,0
2,9,2012,30.2,81.0,17.2,0.0,73.1,10.9,59.0,4.4,13.6,5.1,not fire,1
23,6,2013,28.9,54.6,16.8,0.5,83.4,12.8,44.5,6.2,13.0,6.3,not fire,0
23,9,2013,31.8,75.5,13.3,0.0,84.0,18.0,77.5,5.8,20.1,7.1,not fire,0
17,6,2013,31.1,53.6,10.0,0.0,90.9,15.1,81.6,6.1,18.9,7.1,not fire,0
23,8,2012,27.9,75.7,15.8,0.0,79.5,5.0,28.7,3.7,6.4,3.6,not fire,0
12,7,2013,30.1,73.0,14.0,0.0,79.9,19.0,68.8,3.3,19.7,5.2,not fire,0
8,9,2012,30.7,46.4,14.0,1.0,88.3,17.8,67.9,5.7,18.8,6.8,not fire,0
9,7,2012,30.9,62.7,13.8,0.0,83.3,14.5,64.7,4.5,16.5,5.6,not fire,0
3,7,2012,30.9,64.3,11.0,0.0,78.5,20.2,92.2,4.3,23.2,6.5,not fire,1
25,9,2013,29.1,55.6,14.5,0.2,83.7,10.6,31.5,7.2,10.1,6.6,not fire,0
6,9,2012,37.9,59.8,13.5,0.2,92.3,36.9,114.7,9.1,35.9,11.7,fire,1
8,6,2012,28.4,59.3,17.2,0.0,77.6,17.5,78.0,4.5,19.8,6.2,not fire,0
4,7,2012,32.3,58.6,14.7,0.0,85.6,19.6,75.0,4.7,20.8,6.4,not fire,1
5,7,2013,32.1,57.1,16.7,0.0,87.7,14.0,48.0,6.5,14.1,6.7,not fire,1
23,6,2012,28.8,67.0,16.7,0.0,78.6,18.4,71.4,4.2,19.6,5.9,not fire,1
20,9,2012,34.9,59.1,16.7,0.2,89.6,29.4,100.7,7.8,29.7,9.9,not fire,0
4,8,2013,28.8,69.3,15.8,0.0,79.2,22.5,95.2,4.7,24.9,7.1,not fire,0
7,8,2013,33.5,58.3,14.5,0.0,87.4,19.6,70.9,6.1,20.3,7.3,not fire,1
11,7,2012,31.4,55.6,15.2,0.0,85.9,21.9,92.1,6.9,24.2,8.4,not fire,1
13,6,2012,32.8,55.2,19.2,0.0,92.4,21.5,84.1,9.0,23.0,9.7,not fire,0
10,6,2012,30.3,80.1,10.9,0.0,82.0,13.1,57.8,5.3,14.8,5.9,not fire,1
14,8,2013,29.3,62.9,11.6,0.0,85.6,13.4,54.5,5.2,14.6,5.9,not fire,0
15,8,2013,33.8,60.9,16.4,10.0,66.9,23.3,77.0,1.8,23.2,4.7,not fire,0
18,7,2012,29.7,65.2,14.0,0.0,75.1,14.9,75.7,0.9,18.1,3.4,not fire,0
22,8,2012,29.0,71.9,17.7,0.0,80.1,14.5,55.1,6.3,15.3,6.7,not fire,1
25,6,2012,29.2,90.0,17.2,0.0,82.0,12.3,63.9,6.2,15.0,6.6,not fire,1
7,6,2012,33.3,50.7,18.3,0.0,90.7,22.4,77.5,8.7,22.8,9.5,fire,0
23,9,2013,31.1,60.6,13.4,0.0,87.9,17.5,64.3,7.4,18.2,7.9,not fire,1
29,7,2012,35.9,64.2,18.3,0.0,86.1,26.2,92.6,7.8,26.8,9.5,not fire,0
7,9,2013,33.2,63.7,18.1,0.0,84.8,25.7,98.3,6.7,27.2,8.8,not fire,1
24,8,2013,31.6,64.8,12.7,0.0,82.0,17.7,66.9,3.7,18.6,5.4,not fire,1
29,7,2012,34.1,67.7,18.6,0.0,85.5,26.8,88.4,5.7,26.7,8.0,not fire,1
25,9,2013,35.5,56.9,12.3,0.0,89.4,21.9,70.9,6.6,21.6,7.9,not fire,0
28,6,2013,30.8,64.8,15.7,0.5,89.9,25.3,83.2,6.4,25.1,8.2,not fire,1
